종목코드,종목명,산업,섹터,DT
080010,이상네트웍스,경기관련소비재,"호텔,레스토랑,레저등",20240822
058450,한주에이알티,경기관련소비재,"호텔,레스토랑,레저등",20240822
111710,남화산업,경기관련소비재,"호텔,레스토랑,레저등",20240822
008770,호텔신라,경기관련소비재,소매(유통),20240822
139480,이마트,경기관련소비재,소매(유통),20240822
257720,실리콘투,경기관련소비재,소매(유통),20240822
004170,신세계,경기관련소비재,소매(유통),20240822
282330,BGF리테일,경기관련소비재,소매(유통),20240822
007070,GS리테일,경기관련소비재,소매(유통),20240822
023530,롯데쇼핑,경기관련소비재,소매(유통),20240822
069960,현대백화점,경기관련소비재,소매(유통),20240822
119860,커넥트웨이브,경기관련소비재,소매(유통),20240822
057050,현대홈쇼핑,경기관련소비재,소매(유통),20240822
060280,큐렉소,경기관련소비재,소매(유통),20240822
452260,한화갤러리아,경기관련소비재,소매(유통),20240822
064800,포니링크,경기관련소비재,소매(유통),20240822
035080,그래디언트,경기관련소비재,소매(유통),20240822
064090,인크레더블버즈,경기관련소비재,소매(유통),20240822
037710,광주신세계,경기관련소비재,소매(유통),20240822
071840,롯데하이마트,경기관련소비재,소매(유통),20240822
063170,서울옥션,경기관련소비재,소매(유통),20240822
053280,예스24,경기관련소비재,소매(유통),20240822
036030,케이티알파,경기관련소비재,소매(유통),20240822
362320,청담글로벌,경기관련소비재,소매(유통),20240822
118000,메타케어,경기관련소비재,소매(유통),20240822
019010,베뉴지,경기관련소비재,소매(유통),20240822
009810,플레이그램,경기관련소비재,소매(유통),20240822
067830,세이브존I&C,경기관련소비재,소매(유통),20240822
006370,대구백화점,경기관련소비재,소매(유통),20240822
007720,대명소노시즌,경기관련소비재,소매(유통),20240822
080420,모다이노칩,경기관련소비재,소매(유통),20240822
102370,케이옥션,경기관련소비재,소매(유통),20240822
000680,LS네트웍스,경기관련소비재,소매(유통),20240822
038620,위즈코프,경기관련소비재,소매(유통),20240822
013000,세우글로벌,경기관련소비재,소매(유통),20240822
051390,YW,경기관련소비재,소매(유통),20240822
002420,세기상사,경기관련소비재,소매(유통),20240822
069920,아이에스이커머스,경기관련소비재,소매(유통),20240822
043090,더테크놀로지,경기관련소비재,소매(유통),20240822
039740,한국정보공학,경기관련소비재,소매(유통),20240822
215200,메가스터디교육,경기관련소비재,교육서비스,20240822
096240,크레버스,경기관련소비재,교육서비스,20240822
072870,메가스터디,경기관련소비재,교육서비스,20240822
068930,디지털대성,경기관련소비재,교육서비스,20240822
095720,웅진씽크빅,경기관련소비재,교육서비스,20240822
067280,멀티캠퍼스,경기관련소비재,교육서비스,20240822
040420,정상제이엘에스,경기관련소비재,교육서비스,20240822
215100,로보로보,경기관련소비재,교육서비스,20240822
019680,대교,경기관련소비재,교육서비스,20240822
057030,YBM넷,경기관련소비재,교육서비스,20240822
053290,NE능률,경기관련소비재,교육서비스,20240822
100220,비상교육,경기관련소비재,교육서비스,20240822
339950,아이비김영,경기관련소비재,교육서비스,20240822
133750,메가엠디,경기관련소비재,교육서비스,20240822
289010,아이스크림에듀,경기관련소비재,교육서비스,20240822
134060,이퓨쳐,경기관련소비재,교육서비스,20240822
084440,유비온,경기관련소비재,교육서비스,20240822
035290,골드앤에스,경기관련소비재,교육서비스,20240822
051500,CJ프레시웨이,필수소비재,식품과기본식료품소매,20240822
051160,지어소프트,필수소비재,식품과기본식료품소매,20240822
227840,현대코퍼레이션홀딩스,필수소비재,식품과기본식료품소매,20240822
223310,딥마인드,필수소비재,식품과기본식료품소매,20240822
311390,네오크레마,필수소비재,식품과기본식료품소매,20240822
006880,신송홀딩스,필수소비재,식품과기본식료품소매,20240822
004590,한국가구,필수소비재,식품과기본식료품소매,20240822
250000,보라티알,필수소비재,식품과기본식료품소매,20240822
033780,KT&G,필수소비재,"식품,음료,담배",20240822
097950,CJ제일제당,필수소비재,"식품,음료,담배",20240822
271560,오리온,필수소비재,"식품,음료,담배",20240822
003230,삼양식품,필수소비재,"식품,음료,담배",20240822
004370,농심,필수소비재,"식품,음료,담배",20240822
140410,메지온,필수소비재,"식품,음료,담배",20240822
000080,하이트진로,필수소비재,"식품,음료,담배",20240822
007310,오뚜기,필수소비재,"식품,음료,담배",20240822
026960,동서,필수소비재,"식품,음료,담배",20240822
005300,롯데칠성,필수소비재,"식품,음료,담배",20240822
001680,대상,필수소비재,"식품,음료,담배",20240822
005180,빙그레,필수소비재,"식품,음료,담배",20240822
006040,동원산업,필수소비재,"식품,음료,담배",20240822
