종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
008870,0.0,0.65,1.31,0.49,-5.06,-22.91,-19.71,20240801
001570,1.33,2.86,-21.65,-25.25,-12.42,-50.47,650.82,20240801
282720,2.37,-1.34,2.12,-20.13,19.54,-10.24,,20240801
002990,0.4,5.32,-1.7,-10.9,-27.83,-31.64,-55.24,20240801
002995,0.0,-1.67,-3.56,-10.85,-27.13,-34.17,-65.45,20240801
011785,1.37,-0.45,2.3,2.46,9.72,4.55,-24.4,20240801
073240,-1.57,-3.08,-21.28,-35.76,-14.6,6.23,41.69,20240801
036190,0.39,1.18,-1.16,-8.39,0.39,-14.5,-10.63,20240801
049080,1.56,-0.26,-1.52,-7.37,-37.03,-47.22,-49.42,20240801
420770,3.64,1.51,-8.91,-27.02,-32.37,-51.04,,20240801
035460,2.09,0.05,-5.23,-18.96,-20.29,-34.98,-37.58,20240801
092440,0.19,-3.23,-6.25,-9.7,-10.89,-18.31,-27.03,20240801
024110,0.0,1.38,0.0,2.94,11.82,32.7,50.54,20240801
456700,0.0,0.0,-5.37,-17.62,-22.4,-22.4,,20240801
013700,0.14,0.49,0.35,-5.04,-9.66,-12.55,-37.37,20240801
308100,-0.44,-4.08,-6.71,-13.8,-22.61,-41.99,-71.62,20240801
004540,3.49,1.28,-5.77,0.85,-17.42,6.28,-33.8,20240801
004545,0.51,-1.01,-1.86,-1.93,-15.31,-2.56,-30.71,20240801
247660,0.56,12.84,9.61,14.04,-9.99,-36.38,-68.38,20240801
091970,1.57,2.28,-3.48,-10.99,-26.2,-22.37,-63.79,20240801
244880,0.0,-0.19,-3.53,-13.5,-15.33,-34.3,-15.33,20240801
051490,2.03,6.94,4.03,-6.37,-12.86,-33.68,-35.47,20240801
137080,1.86,2.75,-11.31,-26.88,-29.85,-43.32,-49.73,20240801
242040,-0.66,0.87,0.31,-10.84,-13.01,-29.15,-6.82,20240801
089600,0.11,-2.3,8.94,-7.88,-25.35,-14.56,-29.58,20240801
293580,2.24,2.42,14.31,13.07,8.14,4.77,-86.21,20240801
130580,0.0,-0.2,-10.78,-17.5,-16.95,-19.92,-36.45,20240801
036800,1.48,1.73,-5.08,-8.26,-5.3,-13.11,-17.96,20240801
001260,-4.21,7.76,20.77,21.16,6.99,-17.76,-28.57,20240801
008350,2.24,1.78,-6.0,-16.51,-24.09,-33.28,-27.86,20240801
008355,-0.06,-0.6,1.23,-7.94,-34.01,-21.05,-22.9,20240801
004270,1.71,2.61,-7.63,-13.82,-22.83,-19.43,-34.19,20240801
003920,0.0,1.35,-10.58,1.35,-10.73,18.55,42.2,20240801
003925,0.0,-4.49,-9.05,-14.92,-11.71,50.52,73.21,20240801
025860,0.14,0.57,0.14,-1.12,-3.55,-9.94,-26.58,20240801
111710,0.2,1.61,-0.59,-6.84,-16.0,-29.41,-35.05,20240801
091590,0.23,3.1,0.23,-8.86,-26.03,-45.18,-41.54,20240801
168330,0.95,0.71,-0.23,-21.65,1.43,-18.2,-57.81,20240801
212560,1.25,-0.85,-16.12,-20.31,-13.25,12.62,9.14,20240801
095660,0.24,1.22,1.97,-4.16,-18.63,-38.79,-24.82,20240801
042420,0.0,2.7,-3.96,-12.6,-34.04,-28.94,-41.73,20240801
950220,3.07,5.37,-3.08,-18.38,-5.98,-25.8,-68.04,20240801
092730,0.0,0.59,-11.25,-1.91,-2.47,8.46,23.91,20240801
153460,-0.28,-0.28,0.0,2.33,-2.23,-10.23,-4.49,20240801
007390,-0.73,0.74,14.24,15.09,41.38,44.79,-54.4,20240801
033640,2.22,2.22,-18.38,-27.19,-30.0,-37.17,-34.78,20240801
330860,1.76,5.12,-20.17,-34.09,-22.28,-28.81,-35.32,20240801
005720,1.18,1.73,-1.26,10.55,10.81,12.8,29.53,20240801
005725,-0.63,3.3,1.95,2.62,9.44,6.83,7.19,20240801
002350,3.87,7.18,5.5,-10.64,-0.37,-3.01,28.55,20240801
002355,0.9,4.02,2.91,-4.27,9.97,12.54,23.94,20240801
137940,0.54,-3.86,22.62,-1.84,-31.12,-7.88,-51.24,20240801
251270,0.0,-0.31,14.67,10.47,8.58,27.36,-5.8,20240801
317860,0.66,2.33,9.64,39.55,24.04,5.86,-24.94,20240801
104620,1.54,1.72,-12.17,-21.28,-23.42,-14.2,-21.69,20240801
090350,1.56,5.29,2.09,3.17,10.03,23.39,6.9,20240801
090355,0.4,4.25,4.18,6.86,-7.65,31.34,-7.08,20240801
000320,1.93,7.37,6.53,11.84,19.44,21.56,22.32,20240801
000325,0.48,0.0,-2.5,-4.73,-8.37,54.46,28.93,20240801
194700,7.82,2.76,-7.45,-3.18,-5.18,23.89,-68.21,20240801
285490,2.35,0.4,-14.91,-27.08,-31.81,-53.96,-54.17,20240801
283100,-4.05,-9.89,-18.13,-41.84,-81.59,-88.69,,20240801
229500,-0.35,-3.73,-16.47,-72.29,-72.29,-72.29,-55.45,20240801
006280,8.0,13.17,22.37,24.81,33.58,26.67,-14.3,20240801
234690,6.24,5.48,-8.76,-17.13,2.67,27.16,7.66,20240801
005250,4.14,3.66,13.13,-0.31,7.24,13.78,-21.73,20240801
005257,3.21,0.98,2.59,-2.47,-13.61,-10.61,-55.38,20240801
004370,-0.83,3.35,3.35,18.44,26.75,20.23,70.28,20240801
072710,0.28,1.43,-3.93,6.3,9.92,6.3,4.73,20240801
054050,0.77,1.16,-0.25,-2.37,-1.88,-6.44,-21.99,20240801
040160,1.01,2.38,-2.59,-9.88,-25.95,-45.57,-54.53,20240801
060260,0.0,0.0,-9.78,-15.1,-41.2,-46.52,-58.47,20240801
270870,2.9,-8.97,-15.14,-0.7,19.83,31.48,-31.29,20240801
144960,0.55,1.11,-8.09,-5.71,4.81,4.81,14.74,20240801
085670,0.18,-1.09,-12.66,-32.47,-54.16,4.21,4.21,20240801
064260,-3.7,0.94,-0.13,-3.21,-5.63,0.4,-47.93,20240801
039560,0.27,-3.22,10.59,-2.34,-7.05,-22.23,-35.28,20240801
154040,-1.02,-3.7,1.23,2.63,-8.5,-29.57,-45.26,20240801
030210,0.47,3.07,3.57,1.43,-11.39,-6.04,-27.5,20240801
023590,1.93,4.0,1.93,-2.06,-4.81,6.09,2.32,20240801
032190,0.6,9.07,4.25,-4.62,-18.36,-13.95,2.43,20240801
019680,-0.22,-0.87,-6.78,-14.02,-13.52,-10.45,-26.3,20240801
019685,0.15,-0.44,-2.37,-10.84,-16.39,-17.91,-43.22,20240801
006370,1.04,0.74,-10.66,3.19,-31.41,-40.7,-35.33,20240801
008060,-0.31,0.0,-1.39,1.75,0.79,-4.9,-5.04,20240801
00806K,0.29,0.43,-1.14,-2.39,-3.48,-25.05,-24.48,20240801
353200,0.9,2.76,3.24,-5.51,-8.04,-33.23,-25.04,20240801
35320K,1.01,0.33,-1.42,-5.14,-8.04,-22.34,-30.46,20240801
178600,1.94,0.35,6.85,8.66,9.07,10.11,-21.28,20240801
020400,0.52,0.0,-3.39,-8.0,-18.43,-15.01,-21.59,20240801
008830,0.85,2.48,-2.71,-22.15,-28.48,47.24,5.22,20240801
048470,0.23,5.53,2.09,18.17,11.0,13.58,-19.45,20240801
008110,0.0,0.0,0.0,27.78,131.38,200.2,49.65,20240801
004780,0.25,0.63,-2.2,-4.18,0.63,-2.43,-15.84,20240801
005750,2.45,2.99,0.38,-4.23,13.94,14.6,-20.86,20240801
017650,0.39,-0.26,-0.64,-4.31,-4.77,-12.49,-12.68,20240801
006570,-0.84,-0.17,-2.31,2.95,0.85,-15.04,-21.97,20240801
